Flow,O,D,Year
298,17,34,2005
395,17,46,2005
914,17,16,2005
312,17,21,2005
108,17,49,2005
114,17,39,2005
2206,17,10,2005
4620,17,18,2005
38,17,9,2005
324,17,28,2005
138,17,47,2005
71,17,31,2005
218,17,26,2005
159,17,41,2005
622,17,6,2005
377,17,37,2005
50,17,8,2005
275,17,7,2005
88,17,48,2005
1009,17,1,2005
189,17,20,2005
62,17,30,2005
8,17,11,2005
32,17,27,2005
5,17,33,2005
76,17,36,2005
123,17,13,2005
310,17,25,2005
806,17,2,2005
515,17,42,2005
183,17,3,2005
255,17,44,2005
198,17,19,2005
18,17,40,2005
471,17,32,2005
1785,17,23,2005
1471,17,15,2005
449,17,4,2005
38,17,12,2005
72,17,5,2005
475,17,43,2005
56,17,24,2005
89,34,17,2005
197,34,46,2005
4394,34,16,2005
1095,34,21,2005
7,34,49,2005
33,34,39,2005
76,34,35,2005
930,34,10,2005
529,34,18,2005
352,34,9,2005
788,34,28,2005
373,34,47,2005
313,34,31,2005
327,34,26,2005
172,34,41,2005
114,34,6,2005
56,34,38,2005
293,34,37,2005
101,34,8,2005
349,34,7,2005
356,34,48,2005
82,34,1,2005
657,34,20,2005
171,34,30,2005
185,34,11,2005
942,34,27,2005
61,34,33,2005
314,34,36,2005
1215,34,13,2005
529,34,25,2005
422,34,2,2005
110,34,45,2005
516,34,42,2005
459,34,3,2005
901,34,44,2005
461,34,19,2005
68,34,40,2005
199,34,32,2005
95,34,14,2005
136,34,23,2005
1900,34,15,2005
971,34,22,2005
14,34,29,2005
351,34,4,2005
1892,34,12,2005
62,34,5,2005
342,34,43,2005
191,34,24,2005
1084,46,17,2005
631,46,34,2005
849,46,16,2005
416,46,21,2005
117,46,39,2005
1129,46,10,2005
403,46,18,2005
872,46,28,2005
77,46,47,2005
277,46,31,2005
480,46,26,2005
553,46,41,2005
986,46,6,2005
86,46,38,2005
185,46,37,2005
32,46,8,2005
250,46,7,2005
93,46,48,2005
641,46,1,2005
2812,46,20,2005
54,46,30,2005
11,46,11,2005
114,46,27,2005
12,46,36,2005
527,46,13,2005
259,46,25,2005
313,46,2,2005
21,46,45,2005
218,46,42,2005
2308,46,3,2005
486,46,44,2005
251,46,19,2005
68,46,32,2005
1778,46,23,2005
3303,46,15,2005
26,46,22,2005
132,46,4,2005
233,46,12,2005
19,46,5,2005
339,46,43,2005
60,46,24,2005
81,16,17,2005
2526,16,34,2005
165,16,46,2005
679,16,21,2005
106,16,49,2005
25,16,39,2005
62,16,35,2005
781,16,10,2005
553,16,18,2005
419,16,9,2005
504,16,28,2005
192,16,47,2005
132,16,31,2005
182,16,26,2005
104,16,41,2005
161,16,6,2005
82,16,38,2005
222,16,37,2005
201,16,8,2005
204,16,7,2005
244,16,48,2005
126,16,1,2005
320,16,20,2005
161,16,30,2005
99,16,11,2005
1504,16,27,2005
36,16,33,2005
209,16,36,2005
338,16,13,2005
497,16,25,2005
401,16,2,2005
38,16,45,2005
296,16,42,2005
228,16,3,2005
1510,16,44,2005
316,16,19,2005
49,16,40,2005
95,16,32,2005
28,16,14,2005
328,16,23,2005
2003,16,15,2005
479,16,22,2005
7,16,29,2005
430,16,4,2005
1278,16,12,2005
9,16,5,2005
180,16,43,2005
89,16,24,2005
380,21,17,2005
2280,21,34,2005
396,21,46,2005
2837,21,16,2005
175,21,49,2005
41,21,39,2005
53,21,35,2005
1585,21,10,2005
691,21,18,2005
480,21,9,2005
871,21,28,2005
241,21,47,2005
463,21,31,2005
802,21,26,2005
182,21,41,2005
155,21,6,2005
172,21,38,2005
243,21,37,2005
130,21,8,2005
453,21,7,2005
573,21,48,2005
215,21,1,2005
649,21,20,2005
439,21,30,2005
536,21,11,2005
406,21,27,2005
5,21,33,2005
230,21,36,2005
1443,21,13,2005
614,21,25,2005
456,21,2,2005
112,21,45,2005
686,21,42,2005
651,21,3,2005
971,21,44,2005
330,21,19,2005
62,21,40,2005
203,21,32,2005
298,21,14,2005
295,21,23,2005
3124,21,15,2005
967,21,22,2005
83,21,29,2005
712,21,4,2005
1280,21,12,2005
37,21,5,2005
554,21,43,2005
816,21,24,2005
89,49,17,2005
505,49,34,2005
18,49,46,2005
2025,49,16,2005
157,49,21,2005
3,49,39,2005
72,49,35,2005
3522,49,10,2005
1028,49,18,2005
70,49,9,2005
269,49,28,2005
142,49,47,2005
46,49,31,2005
205,49,26,2005
111,49,41,2005
64,49,6,2005
603,49,38,2005
389,49,37,2005
2311,49,8,2005
297,49,7,2005
252,49,48,2005
155,49,20,2005
136,49,30,2005
117,49,11,2005
176,49,27,2005
356,49,33,2005
1311,49,36,2005
129,49,13,2005
2581,49,25,2005
1199,49,2,2005
106,49,45,2005
420,49,42,2005
53,49,3,2005
104,49,44,2005
1068,49,19,2005
348,49,40,2005
415,49,32,2005
192,49,23,2005
617,49,15,2005
107,49,22,2005
540,49,29,2005
1000,49,4,2005
265,49,12,2005
145,49,43,2005
625,39,17,2005
266,39,34,2005
897,39,16,2005
136,39,21,2005
206,39,49,2005
396,39,35,2005
1601,39,10,2005
722,39,18,2005
396,39,28,2005
71,39,47,2005
90,39,26,2005
110,39,41,2005
4925,39,37,2005
141,39,8,2005
116,39,7,2005
238,39,1,2005
44,39,30,2005
60,39,11,2005
96,39,27,2005
1445,39,36,2005
416,39,25,2005
1136,39,42,2005
8015,39,19,2005
11,39,32,2005
484,39,23,2005
908,39,15,2005
487,39,4,2005
365,39,12,2005
292,39,5,2005
315,35,17,2005
1952,35,34,2005
5736,35,16,2005
917,35,21,2005
2481,35,49,2005
3172,35,10,2005
693,35,18,2005
47,35,9,2005
484,35,28,2005
641,35,47,2005
389,35,41,2005
289,35,6,2005
591,35,38,2005
35024,35,37,2005
1060,35,8,2005
631,35,7,2005
252,35,48,2005
234,35,1,2005
163,35,20,2005
1242,35,27,2005
1323,35,36,2005
3226,35,25,2005
935,35,2,2005
748,35,42,2005
216,35,3,2005
1758,35,44,2005
2561,35,19,2005
99,35,40,2005
376,35,32,2005
665,35,14,2005
223,35,23,2005
2506,35,15,2005
467,35,22,2005
218,35,29,2005
10263,35,4,2005
713,35,12,2005
191,35,43,2005
829,10,17,2005
381,10,34,2005
277,10,46,2005
1339,10,16,2005
449,10,21,2005
279,10,49,2005
105,10,39,2005
58,10,35,2005
2872,10,18,2005
73,10,9,2005
800,10,28,2005
481,10,47,2005
167,10,31,2005
152,10,26,2005
519,10,41,2005
278,10,6,2005
187,10,38,2005
456,10,37,2005
396,10,8,2005
676,10,7,2005
160,10,48,2005
206,10,1,2005
277,10,20,2005
71,10,30,2005
110,10,11,2005
204,10,27,2005
65,10,33,2005
765,10,36,2005
209,10,13,2005
1353,10,25,2005
1539,10,2,2005
46,10,45,2005
870,10,42,2005
336,10,3,2005
116,10,44,2005
778,10,19,2005
55,10,40,2005
711,10,32,2005
35,10,14,2005
1006,10,23,2005
1662,10,15,2005
183,10,22,2005
73,10,29,2005
982,10,4,2005
343,10,12,2005
195,10,5,2005
223,10,43,2005
29,10,24,2005
1830,18,17,2005
64,18,34,2005
111,18,46,2005
1007,18,16,2005
316,18,21,2005
77,18,49,2005
61,18,39,2005
32,18,35,2005
4381,18,10,2005
18,18,9,2005
422,18,28,2005
248,18,47,2005
179,18,31,2005
161,18,26,2005
406,18,41,2005
419,18,6,2005
133,18,38,2005
369,18,37,2005
150,18,8,2005
318,18,7,2005
114,18,48,2005
483,18,1,2005
200,18,20,2005
32,18,30,2005
26,18,11,2005
117,18,27,2005
103,18,33,2005
364,18,36,2005
75,18,13,2005
856,18,25,2005
1750,18,2,2005
574,18,42,2005
368,18,3,2005
103,18,44,2005
411,18,19,2005
23,18,40,2005
1647,18,32,2005
15,18,14,2005
1608,18,23,2005
1779,18,15,2005
90,18,22,2005
943,18,4,2005
314,18,12,2005
257,18,5,2005
100,18,43,2005
103,9,17,2005
1871,9,34,2005
108,9,46,2005
3261,9,16,2005
880,9,21,2005
141,9,39,2005
387,9,10,2005
444,9,18,2005
277,9,28,2005
27,9,47,2005
40,9,31,2005
25,9,26,2005
62,9,6,2005
22,9,38,2005
325,9,37,2005
22,9,8,2005
394,9,7,2005
292,9,48,2005
117,9,20,2005
655,9,30,2005
246,9,11,2005
940,9,27,2005
28,9,36,2005
119,9,13,2005
264,9,25,2005
31,9,2,2005
39,9,45,2005
31,9,42,2005
664,9,3,2005
4859,9,44,2005
80,9,19,2005
212,9,32,2005
103,9,14,2005
83,9,23,2005
910,9,15,2005
3237,9,22,2005
903,9,4,2005
6521,9,12,2005
41,9,5,2005
30,9,43,2005
734,9,24,2005
265,28,17,2005
897,28,34,2005
281,28,46,2005
1234,28,16,2005
302,28,21,2005
143,28,49,2005
53,28,39,2005
118,28,35,2005
1432,28,10,2005
435,28,18,2005
65,28,9,2005
2058,28,47,2005
1018,28,31,2005
115,28,26,2005
274,28,41,2005
73,28,6,2005
20,28,38,2005
302,28,37,2005
190,28,8,2005
703,28,7,2005
872,28,48,2005
223,28,1,2005
1276,28,20,2005
62,28,30,2005
75,28,11,2005
201,28,27,2005
35,28,33,2005
225,28,36,2005
48,28,13,2005
616,28,25,2005
362,28,2,2005
28,28,45,2005
654,28,42,2005
125,28,3,2005
140,28,44,2005
383,28,19,2005
15,28,40,2005
256,28,32,2005
35,28,14,2005
477,28,23,2005
1229,28,15,2005
140,28,22,2005
34,28,29,2005
490,28,4,2005
529,28,12,2005
54,28,5,2005
1927,28,43,2005
17,28,24,2005
262,47,17,2005
573,47,34,2005
218,47,46,2005
864,47,16,2005
385,47,21,2005
60,47,49,2005
3,47,39,2005
29,47,35,2005
2734,47,10,2005
1076,47,18,2005
10,47,9,2005
2778,47,28,2005
128,47,31,2005
117,47,26,2005
2035,47,41,2005
63,47,6,2005
27,47,38,2005
183,47,37,2005
179,47,8,2005
1393,47,7,2005
303,47,48,2005
204,47,1,2005
522,47,20,2005
181,47,11,2005
295,47,27,2005
35,47,33,2005
85,47,36,2005
112,47,13,2005
339,47,25,2005
612,47,2,2005
42,47,45,2005
1513,47,42,2005
122,47,3,2005
197,47,44,2005
318,47,19,2005
19,47,40,2005
292,47,32,2005
27,47,14,2005
913,47,23,2005
853,47,15,2005
112,47,22,2005
44,47,29,2005
291,47,4,2005
152,47,12,2005
40,47,5,2005
443,47,43,2005
14,47,24,2005
122,31,17,2005
508,31,34,2005
129,31,46,2005
1562,31,16,2005
527,31,21,2005
24,31,49,2005
1221,31,10,2005
223,31,18,2005
137,31,9,2005
3994,31,28,2005
408,31,47,2005
358,31,26,2005
229,31,41,2005
108,31,6,2005
21,31,38,2005
108,31,37,2005
428,31,7,2005
2351,31,48,2005
374,31,1,2005
1400,31,20,2005
187,31,30,2005
2040,31,11,2005
68,31,27,2005
23,31,36,2005
64,31,13,2005
758,31,25,2005
207,31,2,2005
118,31,45,2005
486,31,42,2005
373,31,3,2005
360,31,44,2005
104,31,19,2005
93,31,32,2005
1135,31,14,2005
386,31,23,2005
1484,31,15,2005
65,31,22,2005
451,31,4,2005
1094,31,12,2005
508,31,43,2005
177,31,24,2005
138,26,17,2005
670,26,34,2005
443,26,46,2005
1722,26,16,2005
1585,26,21,2005
229,26,49,2005
28,26,39,2005
438,26,10,2005
760,26,18,2005
18,26,9,2005
846,26,28,2005
320,26,47,2005
870,26,31,2005
47,26,41,2005
635,26,6,2005
139,26,37,2005
77,26,8,2005
313,26,7,2005
220,26,48,2005
88,26,1,2005
7186,26,20,2005
180,26,30,2005
830,26,11,2005
174,26,27,2005
126,26,33,2005
31,26,36,2005
376,26,13,2005
103,26,25,2005
395,26,2,2005
201,26,45,2005
397,26,42,2005
1846,26,3,2005
58,26,44,2005
424,26,19,2005
26,26,40,2005
64,26,32,2005
87,26,14,2005
210,26,23,2005
3976,26,15,2005
212,26,22,2005
561,26,4,2005
715,26,12,2005
37,26,5,2005
253,26,43,2005
104,26,24,2005
393,41,17,2005
218,41,34,2005
146,41,46,2005
650,41,16,2005
333,41,21,2005
74,41,49,2005
36,41,39,2005
7,41,35,2005
1826,41,10,2005
1368,41,18,2005
11,41,9,2005
623,41,28,2005
2934,41,47,2005
109,41,31,2005
166,41,26,2005
181,41,6,2005
68,41,38,2005
286,41,37,2005
104,41,8,2005
380,41,7,2005
45,41,48,2005
178,41,1,2005
288,41,20,2005
7,41,30,2005
228,41,11,2005
139,41,27,2005
58,41,33,2005
186,41,36,2005
6,41,13,2005
236,41,25,2005
719,41,2,2005
2736,41,42,2005
213,41,3,2005
168,41,44,2005
273,41,19,2005
455,41,32,2005
56,41,14,2005
2176,41,23,2005
1019,41,15,2005
64,41,22,2005
2,41,29,2005
841,41,4,2005
347,41,12,2005
229,41,5,2005
125,41,43,2005
8,41,24,2005
1075,6,17,2005
347,6,34,2005
1433,6,46,2005
1624,6,16,2005
369,6,21,2005
20,6,49,2005
5,6,39,2005
59,6,35,2005
2051,6,10,2005
2067,6,18,2005
14,6,9,2005
537,6,28,2005
162,6,47,2005
106,6,31,2005
298,6,26,2005
455,6,41,2005
20,6,38,2005
252,6,37,2005
163,6,8,2005
516,6,7,2005
225,6,48,2005
3026,6,1,2005
782,6,20,2005
52,6,30,2005
67,6,11,2005
157,6,27,2005
40,6,33,2005
337,6,36,2005
13,6,13,2005
514,6,25,2005
492,6,2,2005
105,6,45,2005
248,6,42,2005
496,6,3,2005
47,6,44,2005
418,6,19,2005
29,6,40,2005
710,6,32,2005
1791,6,23,2005
15832,6,15,2005
46,6,22,2005
25,6,29,2005
539,6,4,2005
394,6,12,2005
55,6,5,2005
257,6,43,2005
56,6,24,2005
18,38,17,2005
302,38,34,2005
12,38,46,2005
795,38,16,2005
493,38,21,2005
407,38,49,2005
131,38,35,2005
4170,38,10,2005
192,38,18,2005
183,38,28,2005
195,38,47,2005
64,38,31,2005
201,38,6,2005
1202,38,37,2005
5684,38,8,2005
67,38,7,2005
237,38,1,2005
208,38,20,2005
116,38,11,2005
116,38,27,2005
2811,38,33,2005
207,38,36,2005
88,38,13,2005
1154,38,25,2005
399,38,2,2005
177,38,42,2005
28,38,3,2005
481,38,44,2005
893,38,19,2005
647,38,40,2005
73,38,32,2005
228,38,23,2005
1348,38,15,2005
171,38,22,2005
188,38,29,2005
1805,38,4,2005
384,38,12,2005
13,38,5,2005
33,38,43,2005
285,37,17,2005
538,37,34,2005
7,37,46,2005
1146,37,16,2005
340,37,21,2005
385,37,49,2005
1332,37,39,2005
1742,37,35,2005
3426,37,10,2005
675,37,18,2005
257,37,9,2005
549,37,28,2005
190,37,47,2005
46,37,31,2005
60,37,26,2005
103,37,41,2005
179,37,6,2005
208,37,38,2005
580,37,8,2005
292,37,7,2005
83,37,48,2005
183,37,1,2005
164,37,20,2005
2,37,11,2005
170,37,27,2005
30,37,33,2005
964,37,36,2005
107,37,13,2005
904,37,25,2005
1693,37,2,2005
13,37,45,2005
755,37,42,2005
287,37,3,2005
224,37,44,2005
3241,37,19,2005
33,37,40,2005
1161,37,32,2005
71,37,14,2005
534,37,23,2005
1175,37,15,2005
20,37,22,2005
39,37,29,2005
4459,37,4,2005
246,37,12,2005
695,37,5,2005
81,37,43,2005
24,37,24,2005
54,8,17,2005
337,8,34,2005
216,8,46,2005
1680,8,16,2005
318,8,21,2005
1140,8,49,2005
48,8,39,2005
392,8,35,2005
3807,8,10,2005
786,8,18,2005
52,8,9,2005
615,8,28,2005
52,8,47,2005
18,8,31,2005
5,8,26,2005
44,8,41,2005
121,8,6,2005
1014,8,38,2005
564,8,37,2005
133,8,7,2005
83,8,48,2005
14,8,1,2005
62,8,20,2005
13,8,30,2005
84,8,11,2005
73,8,27,2005
2727,8,33,2005
636,8,36,2005
52,8,13,2005
2307,8,25,2005
1045,8,2,2005
6,8,45,2005
382,8,42,2005
72,8,3,2005
27,8,44,2005
756,8,19,2005
1112,8,40,2005
591,8,32,2005
20,8,14,2005
188,8,23,2005
655,8,15,2005
68,8,22,2005
352,8,29,2005
648,8,4,2005
648,8,12,2005
53,8,5,2005
106,8,43,2005
17,8,24,2005
291,7,17,2005
863,7,34,2005
98,7,46,2005
1019,7,16,2005
117,7,21,2005
134,7,49,2005
62,7,39,2005
12,7,35,2005
2530,7,10,2005
662,7,18,2005
71,7,9,2005
1096,7,28,2005
1106,7,47,2005
101,7,31,2005
135,7,26,2005
199,7,41,2005
142,7,6,2005
36,7,38,2005
243,7,37,2005
202,7,8,2005
408,7,48,2005
168,7,1,2005
303,7,20,2005
73,7,30,2005
90,7,11,2005
297,7,27,2005
5,7,33,2005
277,7,36,2005
99,7,13,2005
575,7,25,2005
266,7,2,2005
55,7,45,2005
1401,7,42,2005
269,7,3,2005
130,7,44,2005
324,7,19,2005
11,7,40,2005
192,7,32,2005
50,7,14,2005
567,7,23,2005
1739,7,15,2005
72,7,22,2005
22,7,29,2005
374,7,4,2005
220,7,12,2005
98,7,5,2005
567,7,43,2005
20,7,24,2005
10,48,17,2005
860,48,34,2005
93,48,46,2005
1224,48,16,2005
599,48,21,2005
9,48,49,2005
16,48,39,2005
68,48,35,2005
2113,48,10,2005
312,48,18,2005
68,48,9,2005
1274,48,28,2005
